CreditHistory,EmploymentStatus,LoanPurpose,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,CreditRisk
excellent,part-time,furniture,-0.9528622316369026,0.5409773772865174,-1.9706640145309626,0.138962863131314,-0.1513974919414092,-1.1621541469172934,0.46434434038397376,0.3160878221089338,1.051517734418164,-0.6705431614166831,-1.4235037481977766,0.14840493641191355,2.119543434145908,0
fair,part-time,business,0.6819943759459575,-1.172566234397828,0.7675630623827725,-0.19092543867232403,-0.11648835263103476,0.28054861951045496,0.11515679792183087,0.032863373980213176,0.047758777773627914,-0.3827784017095585,-3.076085704011174,2.248873905835714,3.40700629626603,0
excellent,unemployed,car,0.1804541913281804,-2.5120733265898183,-0.36189109162974786,0.8811815239284709,0.00022394799578804667,-0.05858267884076995,1.381449717421049,-1.1310686299349713,-0.42269365499035016,-0.9621412281903847,-1.86513793975052,4.35667487219647,4.473568373219729,0
fair,part-time,furniture,-1.9276542066806597,-4.476140146395554,-0.09458503582677324,2.741046284962623,-1.428067176105445,-0.4845045148488072,1.4733664210140613,0.40921257860654675,-0.015120064259161126,-0.425924599317566,-0.72904391236788,-3.47424689775725,-1.2206903970326273,0
poor,part-time,furniture,-1.7987745112336373,0.5155244249922499,5.873472934570078,-0.7441216137121756,-0.21271991693091935,2.7132939356989674,-0.02096115050719427,-0.24825111386109355,1.7695552091868567,0.3092783851266944,-0.9488086345507366,0.6056401664964612,0.8404156173460096,0
excellent,unemployed,business,1.9015699872176568,-1.0782462747644164,0.13106983612215806,2.1049575342505964,-0.012365938242364536,0.993202456508931,-0.3007096631463442,-0.14963594425179252,-0.7923259241616157,-1.3369779581405543,1.2700835794547207,5.502696333423513,0.1114654760827195,0
good,unemployed,car,-1.6622264075725957,3.5699807674904376,1.8546040095978926,-3.7902303478979626,1.1464718774879026,-3.2149630446297675,2.368244158241195,-0.22836079265763917,0.7615259618282144,0.23154106881380565,-0.6543623445393206,-3.869278577597135,2.6498801950750335,1
fair,full-time,car,-0.21575558165760111,-3.230856553178269,0.26184843214184617,3.1525682585094366,-0.5335436258230818,-1.1702216257693594,3.054142874402362,-0.3743900332069141,-0.3852935579794161,-0.9265132547797481,-2.1150183700898477,-2.6219555285741483,2.379623235914224,0
poor,part-time,furniture,1.007006261428348,-1.4920754258508955,-0.25600569753212343,0.7487791917807893,-0.5963246890919207,-0.6363627981384661,1.225846787843707,0.6381840407282129,1.4640024920627066,0.21272612119178486,-1.2082520312123566,-3.44307303383229,-4.113945928491665,0
poor,part-time,education,4.148565154006125,0.3136008219224189,2.565845655584938,0.8648256870045967,-0.5869709860204633,-1.6542349736183874,0.49766552666395414,0.8052398579044068,-1.6032189125626353,-0.03644732025803771,-2.5329298131498934,1.4119603641676512,-0.3879110530408657,1
fair,part-time,furniture,1.6516672231377552,-4.66580199927731,-0.5870816142450643,3.594908447329698,-0.402833428474804,-1.6663146668098523,4.183175672797235,-1.038540857035756,-0.6420203374262311,1.1127981956129065,-1.2617503851969327,-0.6782000767683827,3.2878955249741866,0
good,unemployed,furniture,3.3708438646712406,-0.2646521188805324,2.0258407366938505,1.4998566639047586,-0.9658267708959641,3.2803894968540295,0.3334270508386121,0.37086779247102475,-4.4718043523906505,-0.9913343922342502,-0.031843417892873704,7.6365020066524485,2.317088345217399,0
excellent,unemployed,furniture,2.8209741948017704,-0.2587238281725084,0.87434554664279,1.5561303212964996,-1.1219681199494154,-2.059430386030228,0.2791515336209137,0.23422041359956,-0.9148524616033882,0.24527693221760752,3.4273730807220737,3.2342214776805265,-2.4432650059960803,1
poor,part-time,furniture,-2.102923718463636,-3.088345668175425,3.565535336517219,0.5083156506489979,1.075390554416414,-0.4123591837342151,-0.8855045107228952,1.0175314239306263,0.8990998475796778,-0.46291637948632713,-0.5373959451861539,-1.957657326780467,-1.5133549796656276,0
poor,part-time,business,-1.9954225916996604,0.02811528912025696,6.365329589853956,0.9190942234488212,-0.2134326970879245,4.688413110564884,1.496045304266727,-1.3099765543749995,1.8777532731160074,-2.2832386346150395,-2.785835800409288,3.2044308287574452,4.184294701239426,0
